Meal,Restaurant,Price,Rating,Latitude,Longitude,Full Address
Big Arch Burger,McDonald's,9.8,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Big Arch Burger,McDonald's,9.8,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Big Arch Burger,McDonald's,9.8,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Big Arch Burger,McDonald's,9.8,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Big Arch Burger,McDonald's,9.8,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Big Arch Burger,McDonald's,9.8,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Big Arch Burger,McDonald's,9.8,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Big Arch Burger,McDonald's,9.8,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Big Arch Burger,McDonald's,9.8,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Big Arch Burger,McDonald's,9.8,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Big Arch Burger,McDonald's,9.8,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Cheesy McCrispy Burger,McDonald's,9.1,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Cheesy McCrispy Burger,McDonald's,9.1,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Cheesy McCrispy Burger,McDonald's,9.1,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Cheesy McCrispy Burger,McDonald's,9.1,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Cheesy McCrispy Burger,McDonald's,9.1,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Cheesy McCrispy Burger,McDonald's,9.1,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Cheesy McCrispy Burger,McDonald's,9.1,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Cheesy McCrispy Burger,McDonald's,9.1,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Cheesy McCrispy Burger,McDonald's,9.1,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Cheesy McCrispy Burger,McDonald's,9.1,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Cheesy McCrispy Burger,McDonald's,9.1,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
